date,text,id,stance ,location,clean text,tokens,City
3/7/2020 20:40,السلام عليكم هل اقدر ابيع جزء من اسهم اكتتاب ارامكو ؟ من تطبيق المباشر للافراد,1.24e+18,Natural,Not Given,السلام عليكم هل اقدر ابيع جزء من اسهم اكتاب ارامكو من تطبيق المباشر لافراد,"['السلام', 'عليكم', 'هل', 'اقدر', 'ابيع', 'جزء', 'من', 'اسهم', 'اكتاب', 'ارامكو', 'من', 'تطبيق', 'المباشر', 'لافراد']",Not Given
3/7/2020 10:26,#تاسي مساء الخير ... غداً تستأنف التداولات في السوق السعودي بعد فشل اتفاق اوبك بلس وهبوط اسعار النفط لمستويات متدنية جديدة * توقعاتكم للاسبوع المقبل ؟ كتوقع شخصي ١. كسر سعر اكتتاب ارامكو . ٢. كسر مستوى ٧٠٠٠ نقطة . ٣. هناك أسهم ستعاكس اتجاه السوق موفقين,1.24e+18,Natural,Not Given,تاسي مساء الخير غداً تستانف التداولات في السوق السعودي بعد فشل اتفاق اوبك بلس وهبوط اسعار النفط لمستويات متدنيه جديده توقعاتكم لاسبوع المقبل كتوقع شخصي ١ كسر سعر اكتاب ارامكو ٢ كسر مستوي ٧٠ نقطه ٣ هناك اسهم ستعاكس اتجاه السوق موفقين,"['تاسي', 'مساء', 'الخير', 'غدا', 'تستانف', 'التداولات', 'في', 'السوق', 'السعودي', 'بعد', 'فشل', 'اتفاق', 'اوبك', 'بلس', 'وهبوط', 'اسعار', 'النفط', 'لمستويات', 'متدنيه', 'جديده', 'توقعاتكم', 'لاسبوع', 'المقبل', 'كتوقع', 'شخصي', '١', 'كسر', 'سعر', 'اكتاب', 'ارامكو', '٢', 'كسر', 'مستوي', '٧٠', 'نقطه', '٣', 'هناك', 'اسهم', 'ستعاكس', 'اتجاه', 'السوق', 'موفقين']",Not Given
3/7/2020 10:11,والله يابو دانة لعنة انهيار السوق ٢٠٠٦ حتى اليوم ملاحقة سوقنا ، ومع اكتتاب ارامكو عدد كبير من الناس اكتتبو وصارو يتابعون السوق وأصبح في اهتمام في الفرص الي فيه وللأسف خابت توقعات الكثير منهم ، اعتقد نحتاج فتره زمنية اطول وتحسن الأوضاع الاقتصادية علشان نصل للمستويات الي ذكرها الاخ,1.24e+18,Negative,Kingdom of Saudi Arabia,واله يابو دانه لعنه انهيار السوق ٢٠٦ حتي اليوم ملاحقه سوقنا ومع اكتاب ارامكو عد كبير من الناس اكتبو وصارو يتابعون السوق واصبح في اهتمام في الفرص الي فيه ولاسف خابت توقعات الكثير منهم اعتقد نحتاج فتره زمنيه اطول وتحسن الاوضاع الاقتصاديه علشان نصل لمستويات الي ذكرها الاخ,"['واله', 'يابو', 'دانه', 'لعنه', 'انهيار', 'السوق', '٢٠٦', 'حتي', 'اليوم', 'ملاحقه', 'سوقنا', 'ومع', 'اكتاب', 'ارامكو', 'عد', 'كبير', 'من', 'الناس', 'اكتبو', 'وصارو', 'يتابعون', 'السوق', 'واصبح', 'في', 'اهتمام', 'في', 'الفرص', 'الي', 'فيه', 'ولاسف', 'خابت', 'توقعات', 'الكثير', 'منهم', 'اعتقد', 'نحتاج', 'فتره', 'زمنيه', 'اطول', 'وتحسن', 'الاوضاع', 'الاقتصاديه', 'علشان', 'نصل', 'لمستويات', 'الي', 'ذكرها', 'الاخ']",Not Given
3/7/2020 9:50,استثمار مادي في العلاقه ! هذا اكتتاب ارامكو مو حب,1.24e+18,Natural,قضاعه,استثمار مادي في العلاقه هذا اكتاب ارامكو مو حب,"['استثمار', 'مادي', 'في', 'العلاقه', 'هذا', 'اكتاب', 'ارامكو', 'مو', 'حب']",Other Country
3/7/2020 8:07,بالنسبة للميزانية السعوديه فقد خرجت من أزمة اسعار النفط على الأقل للخمس سنوات القادمه بسبب اكتتاب أرامكو و الخطه الاستثمارية الشجاعة التي اعتمدتها في السبع سنوات الاخيره وعقبال عندنا,1.24e+18,Positive,Not Given,بالنسبه لميزانيه السعوديه فقد خرجت من ازمه اسعار النفط علي الاقل لخمس سنوات القادمه بسب اكتاب ارامكو و الخطه الاستثماريه الشجاعه التي اعتمدتها في السبع سنوات الاخيره وعقبال عندنا,"['بالنسبه', 'لميزانيه', 'السعوديه', 'فقد', 'خرجت', 'من', 'ازمه', 'اسعار', 'النفط', 'علي', 'الاقل', 'لخمس', 'سنوات', 'القادمه', 'بسب', 'اكتاب', 'ارامكو', 'و', 'الخطه', 'الاستثماريه', 'الشجاعه', 'التي', 'اعتمدتها', 'في', 'السبع', 'سنوات', 'الاخيره', 'وعقبال', 'عندنا']",Not Given
3/7/2020 6:24,١٠٠٠٪ نصب و احتيال .. نفس الطريقة كانوا يعملوها قلبل اكتتاب ارامكو ..,1.24e+18,Natural,"Riyadh, Kingdom of Saudi Arabia",١٠٪ نصب و احتيال نفس الطريقه كانوا يعملوها قلبل اكتاب ارامكو ,"['١٠', 'نصب', 'و', 'احتيال', 'نفس', 'الطريقه', 'كانوا', 'يعملوها', 'قلبل', 'اكتاب', 'ارامكو']",Riyadh
3/6/2020 19:07,ماهي العلاقة بين ارامكو والبريكسيت؟ ولماذا اكتتاب ارامكوا مربوط باستنتاج الانهيار ؟ لو تكرمت وضح الأمر يحتاج لتفصيل...,1.24e+18,Natural,Not Given,ماهي العلاقه بين ارامكو والبريكسيت ولماذا اكتاب ارامكوا مربوط باستنتاج الانهيار لو تكرمت وضح الامر يحتاج لتفصيل,"['ماهي', 'العلاقه', 'بين', 'ارامكو', 'والبريكسيت', 'ولماذا', 'اكتاب', 'ارامكوا', 'مربوط', 'باستنتاج', 'الانهيار', 'لو', 'تكرمت', 'وضح', 'الامر', 'يحتاج', 'لتفصيل']",Not Given
3/6/2020 15:36,طبعاً هذا كان قبل اكتتاب أرامكو بعدها وصلت السعودية ل المركز التاسع على مستوى العالم و السابعه دولياً و تحققت رؤية ٢٠٣٠ ب نهاية ٢٠١٩,1.24e+18,Positive,اللهم إرحم جدي.,طبعاً هذا كان قبل اكتاب ارامكو بعدها وصلت السعوديه ل المركز التاسع علي مستوي العالم و السابعه دولياً و تحقت رؤيه ٢٠٣٠ ب نهايه ٢٠١٩,"['طبعا', 'هذا', 'كان', 'قبل', 'اكتاب', 'ارامكو', 'بعدها', 'وصلت', 'السعوديه', 'ل', 'المركز', 'التاسع', 'علي', 'مستوي', 'العالم', 'و', 'السابعه', 'دوليا', 'و', 'تحقت', 'رؤيه', '٢٠٣٠', 'ب', 'نهايه', '٢٠١٩']",Other Country
3/6/2020 11:32,#أرامكو تخطط لطرح اكتتاب جديد خارج #الرياض.. فما الخطورة في ذلك تقرير: محسن العلوي http://shorturl.at/dipA4 #السعودية,1.24e+18,Natural,Not Given,ارامكو تخط لطرح اكتاب جديد خارج الرياض فما الخطوره في ذلك تقرير محسن العلوي السعوديه,"['ارامكو', 'تخط', 'لطرح', 'اكتاب', 'جديد', 'خارج', 'الرياض', 'فما', 'الخطوره', 'في', 'ذلك', 'تقرير', 'محسن', 'العلوي', 'السعوديه']",Not Given
3/6/2020 9:12,وانا كل مره ضحيه لهذي المخـnـثه اخر مره يدق علي تريليون رقم اخر شي طلع حق اكتتاب ارامكو مدري ايش سخافتهم يروجون على حساب ازعاج الخلق والبثاره عيال الكلب بصير اغنيه وادعس شركتكم,1.24e+18,Natural,In Hell ,وانا كل مره ضحيه لهذي المخnثه اخر مره يدق علي تريليون رقم اخر شي طلع حق اكتاب ارامكو مدري ايش سخافتهم يروجون علي حساب ازعاج الخلق والبثاره عيال الكلب بصير اغنيه وادعس شركتكم,"['وانا', 'كل', 'مره', 'ضحيه', 'لهذي', 'المخnثه', 'اخر', 'مره', 'يدق', 'علي', 'تريليون', 'رقم', 'اخر', 'شي', 'طلع', 'حق', 'اكتاب', 'ارامكو', 'مدري', 'ايش', 'سخافتهم', 'يروجون', 'علي', 'حساب', 'ازعاج', 'الخلق', 'والبثاره', 'عيال', 'الكلب', 'بصير', 'اغنيه', 'وادعس', 'شركتكم']",Other Country
